 "Question","Answer"
"What is the main purpose of AWS WAF?","AWS WAF's main purpose is to help protect web applications or APIs against common web exploits that could affect availability, compromise security, or consume excessive resources."
"How does AWS Shield provide DDoS protection?","AWS Shield provides DDoS protection by offering always-on detection and automatic inline mitigations to minimize application downtime and latency during DDoS attacks."
"Can AWS WAF protect against SQL injection attacks?","Yes, AWS WAF can protect against SQL injection attacks by allowing you to create customizable security rules."
"What are the two tiers of protection offered by AWS Shield?","The two tiers of protection offered by AWS Shield are Shield Standard and Shield Advanced."
"Is AWS WAF capable of managing bot traffic?","Yes, AWS WAF can manage bot traffic using rate-based rules."
"How does AWS Shield Advanced provide enhanced DDoS protection?","AWS Shield Advanced provides enhanced DDoS protection with additional features like detailed attack diagnostics, 24/7 access to the AWS DDoS Response Team, and protection cost mitigation."
"What types of attacks can AWS WAF mitigate?","AWS WAF can mitigate attacks such as SQL injection, cross-site scripting (XSS), and others that are part of the OWASP Top 10."
"Does AWS Shield Standard incur additional costs?","No, AWS Shield Standard is included at no additional cost with AWS services such as Elastic Load Balancer, Amazon CloudFront, and Route 53."
"What AWS services does AWS Shield protect?","AWS Shield protects AWS services including Elastic Load Balancing (ELB), Amazon CloudFront, and Amazon Route 53."
"Can AWS WAF and AWS Shield be used together?","Yes, AWS WAF and AWS Shield can be used together for a more comprehensive security strategy to protect against web exploits and DDoS attacks."
